name;category_id;brand_id;sku;car_model;price;stock
Gyújtógyertya;6;3;SKU-917243;Ford Focus MK1;94872.36;318
Hűtőradiátor;6;3;SKU-883977;Ford Mondeo MK3;54855.28;268
Lengőkar;5;6;SKU-972081;Opel Astra G;101715.81;373
Generátor;6;2;SKU-311802;VW Golf 4 1.6;42682.33;151
Lengőkar;7;10;SKU-938313;Ford Focus MK1;60136.11;397
Féktárcsa;9;7;SKU-451892;Opel Astra G;115510.58;73
Fékbetét;6;7;SKU-230562;BMW E46 320i;10050.99;317
Olajszűrő;8;10;SKU-857596;Audi A4 1.8T;28702.29;115
Hűtőradiátor;6;2;SKU-240272;VW Golf 4 1.6;93345.06;95
LED fényszóró;6;10;SKU-406418;Ford Focus MK1;80029.53;56
Hűtőradiátor;1;9;SKU-706541;Audi A4 1.8T;102333.45;236
Vízpumpa;2;3;SKU-993112;VW Passat B5;64661.4;262
Gyújtógyertya;4;10;SKU-278959;BMW E46 320i;87095.77;158
Gyújtógyertya;7;7;SKU-141762;BMW E39 525d;19049.62;357
Levegőszűrő;4;10;SKU-790826;Ford Focus MK1;49955.12;44
Levegőszűrő;6;1;SKU-217098;Ford Focus MK1;118204.31;170
Levegőszűrő;8;3;SKU-994347;BMW E46 320i;27936.48;158
Olajszűrő;9;5;SKU-426466;BMW E39 525d;17710.46;333
Generátor;6;3;SKU-609175;Toyota Corolla E12;74565.71;341
Stabilizátor rúd;8;3;SKU-366241;Ford Focus MK1;64944.78;22
Kipufogó dob;3;5;SKU-379001;Toyota Corolla E12;73259.23;32
LED fényszóró;4;7;SKU-814640;Opel Astra G;69095.77;243
Gyújtógyertya;4;3;SKU-318757;VW Golf 4 1.6;63998.75;146
Generátor;7;6;SKU-446813;VW Passat B5;104972.1;138
Levegőszűrő;5;7;SKU-868610;Toyota Corolla E12;65568.01;3
Gyújtógyertya;7;2;SKU-872072;Opel Astra G;2648.21;357
Olajszűrő;3;5;SKU-318095;VW Passat B5;51275.0;460
Generátor;1;6;SKU-864552;VW Passat B5;119624.42;57
Akkumulátor;4;5;SKU-229504;Opel Astra G;106311.96;35
Akkumulátor;8;2;SKU-887209;VW Passat B5;29638.01;383
Vízpumpa;8;3;SKU-413431;Opel Corsa C;55482.05;394
Kipufogó dob;1;5;SKU-493025;Audi A4 1.8T;83086.36;344
Vízpumpa;2;6;SKU-749796;Opel Astra G;30390.81;336
Vízpumpa;5;3;SKU-135353;VW Passat B5;22778.06;92
Vízpumpa;1;2;SKU-968134;VW Passat B5;35264.46;110
Vízpumpa;3;8;SKU-525980;VW Golf 4 1.6;87781.31;255
Kipufogó dob;4;7;SKU-294616;VW Passat B5;104387.55;154
Akkumulátor;3;3;SKU-285955;Ford Mondeo MK3;30670.14;139
Akkumulátor;5;6;SKU-110673;Toyota Corolla E12;85784.78;228
Stabilizátor rúd;5;4;SKU-621771;VW Passat B5;100173.74;29
Vízpumpa;9;5;SKU-538504;Ford Mondeo MK3;42688.02;13
Hűtőradiátor;6;1;SKU-201692;BMW E46 320i;100664.13;10
Akkumulátor;4;3;SKU-456019;Ford Mondeo MK3;74470.06;108
Gyújtógyertya;3;5;SKU-738515;Toyota Corolla E12;115894.69;449
Generátor;4;3;SKU-451841;VW Golf 4 1.6;51257.67;256
Vízpumpa;5;6;SKU-773405;VW Golf 4 1.6;76000.53;163
LED fényszóró;3;9;SKU-564894;Audi A4 1.8T;26277.49;365
Fékbetét;1;3;SKU-320875;VW Passat B5;48881.43;436
LED fényszóró;5;3;SKU-442378;Toyota Corolla E12;33877.92;306
Fékbetét;3;8;SKU-124636;VW Golf 4 1.6;13139.74;357
Levegőszűrő;6;10;SKU-569292;VW Passat B5;90866.06;207
Féktárcsa;5;3;SKU-511440;VW Golf 4 1.6;101620.84;125
Levegőszűrő;2;6;SKU-303871;Ford Mondeo MK3;56301.64;267
Generátor;1;1;SKU-425336;Audi A4 1.8T;13529.62;141
Generátor;2;9;SKU-302440;Ford Focus MK1;87431.61;12
Akkumulátor;8;5;SKU-461834;VW Passat B5;46968.45;172
Stabilizátor rúd;8;3;SKU-230671;Opel Astra G;60480.54;419
Generátor;2;10;SKU-933508;VW Passat B5;18565.69;306
Levegőszűrő;9;3;SKU-794610;Ford Mondeo MK3;74625.01;45
Fékbetét;2;2;SKU-429278;Opel Astra G;16350.41;6
Gyújtógyertya;9;4;SKU-111619;BMW E39 525d;19462.72;23
Gyújtógyertya;6;2;SKU-551294;Audi A4 1.8T;11466.9;364
Fékbetét;7;3;SKU-975325;Toyota Corolla E12;16821.63;152
Kipufogó dob;9;3;SKU-367461;VW Golf 4 1.6;110579.29;237
Vízpumpa;1;10;SKU-408611;VW Passat B5;117435.45;204
Kipufogó dob;3;8;SKU-669299;VW Passat B5;72000.94;340
Vízpumpa;7;2;SKU-859590;VW Passat B5;64637.8;150
Stabilizátor rúd;2;3;SKU-197356;Audi A4 1.8T;106598.68;329
Féktárcsa;9;1;SKU-651534;Opel Corsa C;87287.57;388
Vízpumpa;8;10;SKU-422273;Toyota Corolla E12;18542.55;104
Akkumulátor;9;2;SKU-641039;VW Passat B5;97706.09;218
